timecard_entry_id,employee_id,work_date,org_path,home_org_path,job_code,clock_in,clock_out,worked_hours,paycode,scheduled_shift_id
T900030,E100056,2025-10-08,HHS/TX/FacilityA/Nursing,HHS/TX/FacilityA/Nursing,RN,2025-10-08 14:06:00,2025-10-09 01:56:00,11.83,REG,S500031
T900031,E100024,2025-10-08,HHS/TX/FacilityA/Nursing,HHS/TX/FacilityA/Nursing,RN,2025-10-08 14:02:00,2025-10-09 01:48:00,11.77,OT,S500032
T900032,E100054,2025-10-08,HHS/TX/FacilityA/Nursing,HHS/TX/FacilityA/Nursing,RN,2025-10-08 14:09:00,2025-10-09 01:46:00,11.62,REG,S500033
T900033,E100059,2025-10-08,HHS/TX/FacilityA/Nursing,HHS/TX/FacilityA/Nursing,PCT,2025-10-08 14:08:00,2025-10-09 01:57:00,11.82,REG,S500034
T900034,E100028,2025-10-08,HHS/TX/FacilityA/Nursing,HHS/TX/FacilityA/Nursing,PCT,2025-10-08 14:00:00,2025-10-09 01:55:00,11.92,REG,S500035
T900035,E100016,2025-10-08,HHS/TX/FacilityA/Nursing,HHS/TX/FacilityA/Nursing,PCT,2025-10-08 14:11:00,2025-10-09 01:51:00,11.67,REG,S500036
T900036,E100055,2025-10-08,HHS/TX/FacilityA/Nursing,HHS/TX/FacilityA/Nursing,RN,2025-10-08 14:06:00,2025-10-09 02:05:00,11.98,OT,S500037
T900037,E100046,2025-10-08,HHS/TX/FacilityA/Nursing,HHS/TX/FacilityA/Nursing,PCT,2025-10-08 14:01:00,2025-10-09 01:50:00,11.82,REG,S500038
T900038,E100038,2025-10-08,HHS/TX/FacilityA/Nursing,HHS/TX/FacilityA/Nursing,PCT,2025-10-08 14:04:00,2025-10-09 02:00:00,11.93,REG,S500039
T900039,E100047,2025-10-08,HHS/TX/FacilityA/Nursing,HHS/TX/FacilityA/Nursing,PCT,2025-10-08 22:06:00,2025-10-09 09:55:00,11.82,REG,S500041
T900040,E100041,2025-10-08,HHS/TX/FacilityA/Nursing,HHS/TX/FacilityA/Nursing,PCT,2025-10-08 22:03:00,2025-10-09 10:01:00,11.97,REG,S500042
T900041,E100060,2025-10-08,HHS/TX/FacilityA/Nursing,HHS/TX/FacilityA/Nursing,PCT,2025-10-08 22:10:00,2025-10-09 09:57:00,11.78,REG,S500043
T900042,E100053,2025-10-08,HHS/TX/FacilityA/Nursing,HHS/TX/FacilityA/Nursing,RN,2025-10-08 22:06:00,2025-10-09 10:00:00,11.9,REG,S500044
T900043,E100043,2025-10-08,HHS/TX/FacilityA/Nursing,HHS/TX/FacilityA/Nursing,PCT,2025-10-08 21:55:00,2025-10-09 10:01:00,12.1,OT,S500045
T900044,E100042,2025-10-08,HHS/TX/FacilityA/Nursing,HHS/TX/FacilityA/Nursing,PCT,2025-10-08 22:01:00,2025-10-09 10:00:00,11.98,REG,S500046
T900045,E100029,2025-10-08,HHS/TX/FacilityA/Nursing,HHS/TX/FacilityA/Nursing,RN,2025-10-08 21:53:00,2025-10-09 09:56:00,12.05,OT,S500047
T900046,E100065,2025-10-08,HHS/TX/FacilityA/Nursing,HHS/TX/FacilityA/Nursing,PCT,2025-10-08 21:54:00,2025-10-09 09:54:00,12.0,REG,S500048
T900047,E100044,2025-10-08,HHS/TX/FacilityA/Nursing,HHS/TX/FacilityA/Nursing,RN,2025-10-08 22:02:00,2025-10-09 09:51:00,11.82,REG,S500049
T900048,E100133,2025-10-08,HHS/TX/FacilityA/EVS,HHS/TX/FacilityA/EVS,LEAD,2025-10-08 06:58:00,2025-10-08 14:57:00,7.98,REG,S500051
T900049,E100074,2025-10-08,HHS/TX/FacilityA/EVS,HHS/TX/FacilityA/EVS,EVS,2025-10-08 07:09:00,2025-10-08 14:54:00,7.75,REG,S500052
T900050,E100094,2025-10-08,HHS/TX/FacilityA/EVS,HHS/TX/FacilityA/EVS,EVS,2025-10-08 06:58:00,2025-10-08 15:05:00,8.12,REG,S500053
T900051,E100087,2025-10-08,HHS/TX/FacilityA/EVS,HHS/TX/FacilityA/EVS,LEAD,2025-10-08 07:05:00,2025-10-08 14:50:00,7.75,REG,S500054
T900052,E100110,2025-10-08,HHS/TX/FacilityA/EVS,HHS/TX/FacilityA/EVS,LEAD,2025-10-08 07:12:00,2025-10-08 14:58:00,7.77,REG,S500055
T900053,E100104,2025-10-08,HHS/TX/FacilityA/EVS,HHS/TX/FacilityA/EVS,LEAD,2025-10-08 06:58:00,2025-10-08 14:59:00,8.02,REG,S500056
T900054,E100083,2025-10-08,HHS/TX/FacilityA/EVS,HHS/TX/FacilityA/EVS,EVS,2025-10-08 07:08:00,2025-10-08 14:42:00,7.57,OT,S500057
T900055,E100127,2025-10-08,HHS/TX/FacilityA/EVS,HHS/TX/FacilityA/EVS,LEAD,2025-10-08 07:00:00,2025-10-08 15:12:00,8.2,REG,S500058
T900056,E100076,2025-10-08,HHS/TX/FacilityA/EVS,HHS/TX/FacilityA/EVS,EVS,2025-10-08 07:00:00,2025-10-08 15:10:00,8.17,REG,S500059
T900057,E100117,2025-10-08,HHS/TX/FacilityA/EVS,HHS/TX/FacilityA/EVS,LEAD,2025-10-08 07:06:00,2025-10-08 14:50:00,7.73,REG,S500060
T900058,E100098,2025-10-08,HHS/TX/FacilityA/EVS,HHS/TX/FacilityA/EVS,LEAD,2025-10-08 07:00:00,2025-10-08 14:58:00,7.97,REG,S500061
T900059,E100129,2025-10-08,HHS/TX/FacilityA/EVS,HHS/TX/FacilityA/EVS,EVS,2025-10-08 14:12:00,2025-10-08 21:59:00,7.78,REG,S500063
T900060,E100136,2025-10-08,HHS/TX/FacilityA/EVS,HHS/TX/FacilityA/EVS,EVS,2025-10-08 14:04:00,2025-10-08 21:53:00,7.82,REG,S500064
T900061,E100124,2025-10-08,HHS/TX/FacilityA/EVS,HHS/TX/FacilityA/EVS,EVS,2025-10-08 14:12:00,2025-10-08 21:59:00,7.78,REG,S500065
T900062,E100133,2025-10-08,HHS/TX/FacilityA/EVS,HHS/TX/FacilityA/EVS,LEAD,2025-10-08 14:07:00,2025-10-08 21:53:00,7.77,REG,S500066
T900063,E100132,2025-10-08,HHS/TX/FacilityA/EVS,HHS/TX/FacilityA/EVS,EVS,2025-10-08 14:02:00,2025-10-08 22:04:00,8.03,REG,S500067
T900064,E100119,2025-10-08,HHS/TX/FacilityA/EVS,HHS/TX/FacilityA/EVS,EVS,2025-10-08 14:08:00,2025-10-08 21:56:00,7.8,REG,S500068
T900065,E100094,2025-10-08,HHS/TX/FacilityA/EVS,HHS/TX/FacilityA/EVS,EVS,2025-10-08 14:06:00,2025-10-08 21:57:00,7.85,REG,S500069
T900066,E100099,2025-10-08,HHS/TX/FacilityA/EVS,HHS/TX/FacilityA/EVS,EVS,2025-10-08 14:07:00,2025-10-08 22:00:00,7.88,REG,S500070
T900067,E100099,2025-10-08,HHS/TX/FacilityA/EVS,HHS/TX/FacilityA/EVS,EVS,2025-10-08 22:04:00,2025-10-09 06:00:00,7.93,REG,S500072
T900068,E100085,2025-10-08,HHS/TX/FacilityA/EVS,HHS/TX/FacilityA/EVS,EVS,2025-10-08 21:54:00,2025-10-09 06:00:00,8.1,OT,S500073
T900069,E100125,2025-10-08,HHS/TX/FacilityA/EVS,HHS/TX/FacilityA/EVS,LEAD,2025-10-08 22:05:00,2025-10-09 06:05:00,8.0,REG,S500074
T900070,E100079,2025-10-08,HHS/TX/FacilityA/EVS,HHS/TX/FacilityA/EVS,EVS,2025-10-08 22:04:00,2025-10-09 05:54:00,7.83,OT,S500075
T900071,E100137,2025-10-08,HHS/TX/FacilityA/EVS,HHS/TX/FacilityA/EVS,LEAD,2025-10-08 22:07:00,2025-10-09 05:44:00,7.62,REG,S500076
T900072,E100173,2025-10-08,HHS/TX/FacilityA/HR,HHS/TX/FacilityA/HR,RECR,2025-10-08 07:07:00,2025-10-08 15:00:00,7.88,REG,S500077
T900073,E100180,2025-10-08,HHS/TX/FacilityA/HR,HHS/TX/FacilityA/HR,RECR,2025-10-08 07:06:00,2025-10-08 15:12:00,8.1,REG,S500078
T900074,E100188,2025-10-08,HHS/TX/FacilityA/HR,HHS/TX/FacilityA/HR,RECR,2025-10-08 07:03:00,2025-10-08 15:02:00,7.98,REG,S500079
T900075,E100178,2025-10-08,HHS/TX/FacilityA/HR,HHS/TX/FacilityA/HR,HRBP,2025-10-08 07:02:00,2025-10-08 14:53:00,7.85,OT,S500080
T900076,E100181,2025-10-08,HHS/TX/FacilityA/HR,HHS/TX/FacilityA/HR,RECR,2025-10-08 06:59:00,2025-10-08 14:49:00,7.83,REG,S500081
T900077,E100149,2025-10-08,HHS/TX/FacilityA/HR,HHS/TX/FacilityA/HR,HRBP,2025-10-08 13:59:00,2025-10-08 21:59:00,8.0,REG,S500082
T900078,E100187,2025-10-08,HHS/TX/FacilityA/HR,HHS/TX/FacilityA/HR,HRBP,2025-10-08 13:57:00,2025-10-08 21:59:00,8.03,REG,S500083
T900079,E100151,2025-10-08,HHS/TX/FacilityA/HR,HHS/TX/FacilityA/HR,RECR,2025-10-08 14:07:00,2025-10-08 22:05:00,7.97,REG,S500084
T900080,E100182,2025-10-08,HHS/TX/FacilityA/HR,HHS/TX/FacilityA/HR,RECR,2025-10-08 13:58:00,2025-10-08 21:58:00,8.0,REG,S500085
T900081,E100192,2025-10-08,HHS/TX/FacilityA/HR,HHS/TX/FacilityA/HR,HRBP,2025-10-08 22:00:00,2025-10-09 06:04:00,8.07,REG,S500086
T900082,E100169,2025-10-08,HHS/TX/FacilityA/HR,HHS/TX/FacilityA/HR,HRBP,2025-10-08 22:03:00,2025-10-09 05:51:00,7.8,REG,S500087
T900083,E100252,2025-10-08,HHS/TX/FacilityB/Nursing,HHS/TX/FacilityB/Nursing,RN,2025-10-08 06:06:00,2025-10-08 17:47:00,11.68,REG,S500088
T900084,E100268,2025-10-08,HHS/TX/FacilityB/Nursing,HHS/TX/FacilityB/Nursing,RN,2025-10-08 06:12:00,2025-10-08 18:01:00,11.82,REG,S500089
T900085,E100262,2025-10-08,HHS/TX/FacilityB/Nursing,HHS/TX/FacilityB/Nursing,RN,2025-10-08 06:05:00,2025-10-08 17:38:00,11.55,REG,S500090
T900086,E100264,2025-10-08,HHS/TX/FacilityB/Nursing,HHS/TX/FacilityB/Nursing,PCT,2025-10-08 06:00:00,2025-10-08 18:10:00,12.17,OT,S500091
T900087,E100266,2025-10-08,HHS/TX/FacilityB/Nursing,HHS/TX/FacilityB/Nursing,RN,2025-10-08 05:59:00,2025-10-08 17:52:00,11.88,OT,S500092
T900088,E100220,2025-10-08,HHS/TX/FacilityB/Nursing,HHS/TX/FacilityB/Nursing,PCT,2025-10-08 06:06:00,2025-10-08 17:59:00,11.88,CALL,S500093
T900089,E100270,2025-10-08,HHS/TX/FacilityB/Nursing,HHS/TX/FacilityB/Nursing,RN,2025-10-08 06:16:00,2025-10-08 18:05:00,11.82,REG,S500094
T900090,E100245,2025-10-08,HHS/TX/FacilityB/Nursing,HHS/TX/FacilityB/Nursing,PCT,2025-10-08 06:07:00,2025-10-08 17:59:00,11.87,REG,S500095
T900091,E100234,2025-10-08,HHS/TX/FacilityB/Nursing,HHS/TX/FacilityB/Nursing,PCT,2025-10-08 06:07:00,2025-10-08 18:01:00,11.9,REG,S500096
T900092,E100225,2025-10-08,HHS/TX/FacilityB/Nursing,HHS/TX/FacilityB/Nursing,RN,2025-10-08 06:04:00,2025-10-08 17:52:00,11.8,REG,S500097
T900093,E100217,2025-10-08,HHS/TX/FacilityB/Nursing,HHS/TX/FacilityB/Nursing,RN,2025-10-08 05:59:00,2025-10-08 18:01:00,12.03,OT,S500098
T900094,E100216,2025-10-08,HHS/TX/FacilityB/Nursing,HHS/TX/FacilityB/Nursing,RN,2025-10-08 06:00:00,2025-10-08 18:00:00,12.0,OT,S500099
T900095,E100247,2025-10-08,HHS/TX/FacilityB/Nursing,HHS/TX/FacilityB/Nursing,RN,2025-10-08 06:02:00,2025-10-08 17:52:00,11.83,REG,S500100
T900096,E100215,2025-10-08,HHS/TX/FacilityB/Nursing,HHS/TX/FacilityB/Nursing,RN,2025-10-08 06:10:00,2025-10-08 17:58:00,11.8,REG,S500101
T900097,E100236,2025-10-08,HHS/TX/FacilityB/Nursing,HHS/TX/FacilityB/Nursing,RN,2025-10-08 06:00:00,2025-10-08 17:53:00,11.88,REG,S500102
T900098,E100219,2025-10-08,HHS/TX/FacilityB/Nursing,HHS/TX/FacilityB/Nursing,PCT,2025-10-08 06:05:00,2025-10-08 17:59:00,11.9,REG,S500103
T900099,E100258,2025-10-08,HHS/TX/FacilityB/Nursing,HHS/TX/FacilityB/Nursing,PCT,2025-10-08 06:07:00,2025-10-08 18:06:00,11.98,REG,S500104
T900100,E100212,2025-10-08,HHS/TX/FacilityB/Nursing,HHS/TX/FacilityB/Nursing,PCT,2025-10-08 06:02:00,2025-10-08 17:55:00,11.88,REG,S500105
T900101,E100244,2025-10-08,HHS/TX/FacilityB/Nursing,HHS/TX/FacilityB/Nursing,PCT,2025-10-08 06:11:00,2025-10-08 17:45:00,11.57,CALL,S500106
T900102,E100271,2025-10-08,HHS/TX/FacilityB/Nursing,HHS/TX/FacilityB/Nursing,RN,2025-10-08 06:06:00,2025-10-08 17:54:00,11.8,REG,S500107
T900103,E100218,2025-10-08,HHS/TX/FacilityB/Nursing,HHS/TX/FacilityB/Nursing,PCT,2025-10-08 06:07:00,2025-10-08 18:11:00,12.07,OT,S500108
T900104,E100243,2025-10-08,HHS/TX/FacilityB/Nursing,HHS/TX/FacilityB/Nursing,PCT,2025-10-08 15:15:00,2025-10-09 02:50:00,11.58,REG,S500110
T900105,E100226,2025-10-08,HHS/TX/FacilityB/Nursing,HHS/TX/FacilityB/Nursing,RN,2025-10-08 15:01:00,2025-10-09 02:56:00,11.92,REG,S500111
T900106,E100253,2025-10-08,HHS/TX/FacilityB/Nursing,HHS/TX/FacilityB/Nursing,PCT,2025-10-08 15:08:00,2025-10-09 03:00:00,11.87,REG,S500112
T900107,E100238,2025-10-08,HHS/TX/FacilityB/Nursing,HHS/TX/FacilityB/Nursing,PCT,2025-10-08 15:09:00,2025-10-09 02:50:00,11.68,REG,S500113
T900108,E100218,2025-10-08,HHS/TX/FacilityB/Nursing,HHS/TX/FacilityB/Nursing,PCT,2025-10-08 15:03:00,2025-10-09 02:54:00,11.85,REG,S500114
T900109,E100244,2025-10-08,HHS/TX/FacilityB/Nursing,HHS/TX/FacilityB/Nursing,PCT,2025-10-08 15:01:00,2025-10-09 02:37:00,11.6,REG,S500115
T900110,E100268,2025-10-08,HHS/TX/FacilityB/Nursing,HHS/TX/FacilityB/Nursing,RN,2025-10-08 15:06:00,2025-10-09 02:49:00,11.72,REG,S500116
T900111,E100217,2025-10-08,HHS/TX/FacilityB/Nursing,HHS/TX/FacilityB/Nursing,RN,2025-10-08 15:01:00,2025-10-09 03:07:00,12.1,OT,S500117
T900112,E100279,2025-10-08,HHS/TX/FacilityB/Nursing,HHS/TX/FacilityB/Nursing,RN,2025-10-08 15:03:00,2025-10-09 02:51:00,11.8,REG,S500118
T900113,E100213,2025-10-08,HHS/TX/FacilityB/Nursing,HHS/TX/FacilityB/Nursing,PCT,2025-10-08 15:11:00,2025-10-09 02:55:00,11.73,REG,S500119
T900114,E100249,2025-10-08,HHS/TX/FacilityB/Nursing,HHS/TX/FacilityB/Nursing,RN,2025-10-08 15:00:00,2025-10-09 02:54:00,11.9,REG,S500120
T900115,E100211,2025-10-08,HHS/TX/FacilityB/Nursing,HHS/TX/FacilityB/Nursing,PCT,2025-10-08 15:01:00,2025-10-09 02:55:00,11.9,REG,S500121
T900116,E100212,2025-10-08,HHS/TX/FacilityB/Nursing,HHS/TX/FacilityB/Nursing,PCT,2025-10-08 14:59:00,2025-10-09 02:59:00,12.0,REG,S500122
T900117,E100273,2025-10-08,HHS/TX/FacilityB/Nursing,HHS/TX/FacilityB/Nursing,RN,2025-10-08 15:14:00,2025-10-09 03:04:00,11.83,REG,S500123
T900118,E100257,2025-10-08,HHS/TX/FacilityB/Nursing,HHS/TX/FacilityB/Nursing,RN,2025-10-08 15:00:00,2025-10-09 03:01:00,12.02,OT,S500124
T900119,E100258,2025-10-08,HHS/TX/FacilityB/Nursing,HHS/TX/FacilityB/Nursing,PCT,2025-10-08 14:59:00,2025-10-09 03:01:00,12.03,OT,S500125
T900120,E100238,2025-10-08,HHS/TX/FacilityB/Nursing,HHS/TX/FacilityB/Nursing,PCT,2025-10-08 22:11:00,2025-10-09 10:04:00,11.88,REG,S500127
T900121,E100263,2025-10-08,HHS/TX/FacilityB/Nursing,HHS/TX/FacilityB/Nursing,PCT,2025-10-08 22:10:00,2025-10-09 09:49:00,11.65,REG,S500128
T900122,E100277,2025-10-08,HHS/TX/FacilityB/Nursing,HHS/TX/FacilityB/Nursing,PCT,2025-10-08 22:09:00,2025-10-09 09:58:00,11.82,REG,S500129
T900123,E100275,2025-10-08,HHS/TX/FacilityB/Nursing,HHS/TX/FacilityB/Nursing,PCT,2025-10-08 22:15:00,2025-10-09 10:01:00,11.77,REG,S500130
T900124,E100219,2025-10-08,HHS/TX/FacilityB/Nursing,HHS/TX/FacilityB/Nursing,PCT,2025-10-08 22:03:00,2025-10-09 09:58:00,11.92,REG,S500131
T900125,E100258,2025-10-08,HHS/TX/FacilityB/Nursing,HHS/TX/FacilityB/Nursing,PCT,2025-10-08 22:00:00,2025-10-09 09:58:00,11.97,REG,S500132
T900126,E100234,2025-10-08,HHS/TX/FacilityB/Nursing,HHS/TX/FacilityB/Nursing,PCT,2025-10-08 22:07:00,2025-10-09 10:03:00,11.93,REG,S500133
T900127,E100221,2025-10-08,HHS/TX/FacilityB/Nursing,HHS/TX/FacilityB/Nursing,RN,2025-10-08 22:01:00,2025-10-09 10:02:00,12.02,OT,S500134
T900128,E100228,2025-10-08,HHS/TX/FacilityB/Nursing,HHS/TX/FacilityB/Nursing,PCT,2025-10-08 22:01:00,2025-10-09 09:37:00,11.6,REG,S500135
T900129,E100302,2025-10-08,HHS/TX/FacilityB/EVS,HHS/TX/FacilityB/EVS,LEAD,2025-10-08 06:00:00,2025-10-08 14:09:00,8.15,OT,S500137
T900130,E100318,2025-10-08,HHS/TX/FacilityB/EVS,HHS/TX/FacilityB/EVS,EVS,2025-10-08 06:05:00,2025-10-08 13:52:00,7.78,REG,S500138
T900131,E100301,2025-10-08,HHS/TX/FacilityB/EVS,HHS/TX/FacilityB/EVS,LEAD,2025-10-08 06:08:00,2025-10-08 14:07:00,7.98,REG,S500139
T900132,E100317,2025-10-08,HHS/TX/FacilityB/EVS,HHS/TX/FacilityB/EVS,LEAD,2025-10-08 06:09:00,2025-10-08 13:56:00,7.78,REG,S500140
T900133,E100326,2025-10-08,HHS/TX/FacilityB/EVS,HHS/TX/FacilityB/EVS,EVS,2025-10-08 06:04:00,2025-10-08 13:50:00,7.77,REG,S500141
T900134,E100325,2025-10-08,HHS/TX/FacilityB/EVS,HHS/TX/FacilityB/EVS,EVS,2025-10-08 05:58:00,2025-10-08 13:49:00,7.85,REG,S500142
T900135,E100281,2025-10-08,HHS/TX/FacilityB/EVS,HHS/TX/FacilityB/EVS,EVS,2025-10-08 05:57:00,2025-10-08 13:57:00,8.0,REG,S500143
T900136,E100292,2025-10-08,HHS/TX/FacilityB/EVS,HHS/TX/FacilityB/EVS,LEAD,2025-10-08 06:03:00,2025-10-08 14:00:00,7.95,REG,S500144
T900137,E100344,2025-10-08,HHS/TX/FacilityB/EVS,HHS/TX/FacilityB/EVS,EVS,2025-10-08 06:04:00,2025-10-08 13:56:00,7.87,REG,S500145
T900138,E100280,2025-10-08,HHS/TX/FacilityB/EVS,HHS/TX/FacilityB/EVS,EVS,2025-10-08 05:57:00,2025-10-08 14:03:00,8.1,REG,S500146
T900139,E100301,2025-10-08,HHS/TX/FacilityB/EVS,HHS/TX/FacilityB/EVS,LEAD,2025-10-08 15:01:00,2025-10-08 23:08:00,8.12,REG,S500148
T900140,E100325,2025-10-08,HHS/TX/FacilityB/EVS,HHS/TX/FacilityB/EVS,EVS,2025-10-08 15:06:00,2025-10-08 22:58:00,7.87,REG,S500149
T900141,E100305,2025-10-08,HHS/TX/FacilityB/EVS,HHS/TX/FacilityB/EVS,EVS,2025-10-08 15:12:00,2025-10-08 23:02:00,7.83,REG,S500150
T900142,E100292,2025-10-08,HHS/TX/FacilityB/EVS,HHS/TX/FacilityB/EVS,LEAD,2025-10-08 15:00:00,2025-10-08 22:53:00,7.88,REG,S500151
T900143,E100323,2025-10-08,HHS/TX/FacilityB/EVS,HHS/TX/FacilityB/EVS,EVS,2025-10-08 14:55:00,2025-10-08 23:12:00,8.28,REG,S500152
T900144,E100302,2025-10-08,HHS/TX/FacilityB/EVS,HHS/TX/FacilityB/EVS,LEAD,2025-10-08 15:05:00,2025-10-08 23:00:00,7.92,REG,S500153
T900145,E100330,2025-10-08,HHS/TX/FacilityB/EVS,HHS/TX/FacilityB/EVS,EVS,2025-10-08 15:07:00,2025-10-08 22:58:00,7.85,REG,S500154
T900146,E100346,2025-10-08,HHS/TX/FacilityB/EVS,HHS/TX/FacilityB/EVS,EVS,2025-10-08 15:09:00,2025-10-08 22:53:00,7.73,REG,S500155
T900147,E100289,2025-10-08,HHS/TX/FacilityB/EVS,HHS/TX/FacilityB/EVS,LEAD,2025-10-08 14:54:00,2025-10-08 22:49:00,7.92,REG,S500156
T900148,E100336,2025-10-08,HHS/TX/FacilityB/EVS,HHS/TX/FacilityB/EVS,EVS,2025-10-08 23:05:00,2025-10-09 06:53:00,7.8,REG,S500157
T900149,E100284,2025-10-08,HHS/TX/FacilityB/EVS,HHS/TX/FacilityB/EVS,EVS,2025-10-08 22:59:00,2025-10-09 06:59:00,8.0,REG,S500158
T900150,E100300,2025-10-08,HHS/TX/FacilityB/EVS,HHS/TX/FacilityB/EVS,LEAD,2025-10-08 22:57:00,2025-10-09 07:11:00,8.23,REG,S500159
T900151,E100345,2025-10-08,HHS/TX/FacilityB/EVS,HHS/TX/FacilityB/EVS,LEAD,2025-10-08 23:00:00,2025-10-09 07:04:00,8.07,REG,S500160
